Konzepte;Typ;Synonyme;Wortformen;;;
Lawinenrettungsgruppe;intern;;Lawinenrettungsgruppen;;;
Lawinenopfer;intern;;Lawinenopfern,Lawinenopfer;;;
Verschüttete;intern;;Verschüttete, Verschütteter, Verschüttetes, Verschüttetem, Verschütteten;;;
Todesopfer nach Lawinenunglück;intern;;;;;
Erfrorene;intern;;Erfrorene, Erfrorener, Erfrorenes, Erfrorenem, Erfrorenen;;;
Lawinengefahr;intern;;;;;
Lawinenrisiko;intern;Lawinengefahr;Lawinenrisiken;;;
Lawinenkunde;intern;Lawinenlehre;;;;
Hangneigung: Einschätzung der Lawinengefahr;intern;;;;;
Sicherheit während Skitouren;intern;;;;;
Neigungswinkel des Hanges;extern;;;;;
Gradient (Meteorologie);extern;; Gradienten;;;
Lawinenabgang;intern;;Lawinenabgänge;;;
Lawinengefahrenstufe;intern;;Lawinengefahrenstufen;;;
Lawinenwarnung;intern;;Lawinenwarnungen;;;
Berechnung von Lawinenwarnzone;intern;;;;;
Lawinenlagebericht;intern;;Lawinenlageberichte, Lawinenlageberichten;;;
Lawinenwarnstufe;intern;;Lawinenwarnstufen;;;
Lawinenrisikomanagment;intern;;;;;
Lawinenstrategie;intern;;Lawinenstrategien;;;
Klimabedingte;intern;;Klimabedingtes, Klimabedingter,Klimabedingten,Klimabedingtem;;;
Klimawandel;intern;Klimawechsel, Global Warming;;;;
Extremwetterereignis;intern;;Extremwetterereignisse;;;
Hitzewelle;intern;Dauerhitze, Hitzeperiode;Hitzewellen;;;
Hitze;intern;Trokenheit, Affenhitze;;;;
Hitzeperiode;intern;;Hitzeperioden;;;
Hitzebelastung;intern;;Hitzebelastungen;;;
Maßnahme gegen Hitze;intern;;Maßnahmen gegen Hitze;;;
Hitzeschutzplan;intern;;Hitzeschutzpläne, Hitzeschutzplänen;;;
Trinkwasserbrunnen;intern;;;;;
regulierte Arbeitszeiten und -bedingungen;intern;;regulierten Arbeitszeiten und -bedingungen;;;
Hitzefrei;intern;Freistellung vom Unterricht oder der Arbeit aufgrund hoher Temperaturen;;;;
Seniorenbesuch in Heißperioden;intern;;Seniorenbesuche;;;
Kühlsäle;intern;Ventilatoren, Turmventilatoren;Kühlsäulen;;;
Tierschutz;extern;;;;;
Eis für Vierbeiner;intern;;;;;
Sonnencreme mit hohem Lichtschutzfaktor;intern;;;;;
Klimaanlage gegen die Hitze;intern;;Klimaanlagen gegen die Hitze;;;
Sommergrippe;intern;;;;;
Maßnahme für Begrünung uns Schattierung;intern;;Maßnahme für Begrünung uns Schattierung;;;
Hagelschutznetz;intern;;Hagelschutznetze;;;
gegen Sonnebrand für Bäume;intern;;gegen Sonnebrand für Baum;;;
Hitze- & Trokcenheitfolge;intern;;Hitze- & Trokcenheitfolgen;;;
Hitzeerkrankung;intern;;Hitzeerkrankungen;;;
Kreislaufbeschwerde bei Hitze;intern;Kreislaufprobleme;Kreislaufbeschwerden bei Hitze;;;
Magen-Darm-Infektion;extern;;Magen-Darm-Infektionen;;;
Sonnenstich;intern;;;;;
Hitzekollaps-/schlag;intern;;Hitzekollapsen, Hitzekollapses, Hitzekollapse;;;
Hitzekrampf;intern;;Hitzekrämpfen;;;
fehlende Thermoregulation;intern;;;;;
Wärmebelastung;intern;;;;;
Schlafproblem;intern;;Schlafprobleme;;;
Natur- und Landwirtschaftprobleme während Hitzeperioden;intern;;;;;
sinkendes Grundwasserspiegel;intern;;;;;
Auswirkung auf Erntejahr;intern;;Auswirkungen auf Erntejahr;;;
Dürrenuswirkung auf Forstwirtschaft;intern;;Dürrenuswirkungen auf Forstwirtschaft;;;
erschwete Bekämpfung des Borkenkäfers;intern;;;;;
Wasserknappheit;intern;;;;;
Niedrigwasser;intern;;;;;
ausgetroknete Flussläufe;intern;;ausgetrokneter Flusslauf;;;
Blaualgenplagen;intern;Cyanobakterien;;;;
ausgetrockneter Boden;extern;;ausgetrocknetem Boden, ausgetrockneten Boden;;;
Gefahr von Waldbränden;intern;Waldbrandgefahr;;;;
Hochwasser;intern;Überflutung;;;;
Überschwemmung;intern;Wassereinbruch;Überschwemmungen;;;
Flutkatastrophe;intern;Fluthochwasser;Flutkatastrophen;;;
Überflutung;intern;;Überflutungen;;;
Flutwelle;intern;;Flutwellen;;;
Sturmflut;intern;;Sturmfluten;;;
überflutet;intern;überschwemmt;überflutetes, überflutete, überfluten, überflutetem;;;
Flutpolder;intern;Flutschutzgebiet;;;;
Überflutungsgefahr;intern;;;;;
flutgeschädigten;intern;von der Flut geschädigt;;;;
Fluthilfe;intern;Hochwasserhilfe;;;;
