Parent IDs;ID;Konzepte;Typ;Synonyme;Wortformen;;;
;214;Lawinenwarnstufe;intern;;Lawinenwarnstufen;;;
;215;Lawinenrisikomanagment;intern;;;;;
;;Lawinenstrategie;intern;;Lawinenstrategien;;;
2;216;Klimabedingte;intern;;;;;
;217;Klimawandel;intern;Klimawechsel, Global Warming;;;;
;218;Extremwetterereignis;intern;;Extremwetterereignisse;;;
;219;Hitzewelle;intern;;Hitzewellen;;;
;220;Hitze;intern;Trokenheit;;;;
;222;Hitzeperiode;intern;;Hitzeperiode;;;
;223;Hitzebelastung;intern;;Hitzebelastungen;;;
;224;Maßnahme gegen Hitze;intern;;;;;
;225;Hitzeschutzplan;intern;;Hitzeschutzpläne, Hitzeschutzplänen;;;
;226;Trinkwasserbrunnen;intern;;;;;
;227;regulierte Arbeitszeiten und -bedingungen;intern;;;;;
;228;Hitzefrei;intern;;;;;
;229;Seniorenbesuch in Heißperioden;intern;;Seniorenbesuche;;;
;230;Kühlsäle;intern;Ventilatoren, Turmventilatoren;Kühlsäulen;;;
;231;Tierschutz;extern;;;;;
;232;Eis für Vierbeiner;intern;;;;;
;233;Sonnencreme mit hohem Lichtschutzfaktor;intern;;;;;
;234;Klimaanlage installieren;intern;;;;;
;235;Sommergrippe;intern;;;;;
;236;Maßnahme für Begrünung uns Schattierung;intern;;Maßnahme für Begrünung uns Schattierung;;;
;238;Hagelschutznetz;intern;;Hagelschutznetze;;;
;239;gegen Sonnebrand für Bäume;intern;;gegen Sonnebrand für Baum;;;
;240;Hitze- & Trokcenheitfolgen;intern;;;;;
;241;Hitzeerkrankung;intern;;Hitzeerkrankungen;;;
;242;Kreislaufbeschwerden bei Hitze;intern;Kreislaufprobleme;;;;
;243;Magen-Darm-Infektion;extern;;Magen-Darm-Infektionen;;;
;244;Sonnenstich;intern;;;;;
;245;Hitzekollaps-/schlag;intern;;;;;
;246;Hitzekrämpfe;intern;;Hitzekrämpfen;;;
;247;fehlende Thermoregulation;intern;;;;;
;248;Wärmebelastung;intern;;;;;
;249;Schlafproblem;intern;;Schlafprobleme;;;
;250;Natur- und Landwirtschaftprobleme während Hitzeperioden;intern;;;;;
;251;sinkendes Grundwasserspiegel;intern;;;;;
;266;Auswirkung auf Erntejahr;intern;;;;;
;267;Dürrenuswirkung auf Forstwirtschaft;intern;;Dürrenuswirkungen auf Forstwirtschaft;;;
;268;erschwete Bekämpfung des Borkenkäfers;intern;;;;;
;269;Wasserknappheit;intern;;;;;
;270;Niedrigwasser;intern;;;;;
;271;ausgetroknete Flussläufe;intern;;ausgetrokneter Flusslauf;;;
;272;Blaualgenplagen;intern;Cyanobakterien;;;;
;274;ausgetrockneter Boden;extern;;;;;
;275;Gefahr von Waldbränden;intern;Waldbrandgefahr;;;;
;276;Hochwasser;intern;Überflutung;;;;
;277;Überschwemmung;intern;Wassereinbruch;Überschwemmungen;;;
;278;Flutkatastrophe;intern;Fluthochwasser;;;;
;279;Überflutung;intern;;Überflutungen;;;
;280;Flutwelle;intern;;Flutwellen;;;
;281;Sturmflut;intern;;;;;
;282;überflutet;intern;überschwemmt;;;;
;283;Flutpolder;intern;Flutschutzgebiet;;;;
;284;Überflutungsgefahr;intern;;;;;
;285;flutgeschädigten;intern;von der Flut geschädigt;;;;
;286;überflutete;intern;;;;;
;287;Fluthilfe;intern;Hochwasserhilfe;;;;
;288;Flutopfer;intern;;;;;
;289;Flutgebiet;intern;Überschwemmungsgebiet;Flutgebiete;;;
;290;Überflutungsfläche;intern;;Überflutungsflächen;;;
;291;Sturzflut;intern;;;;;
;292;sturzflutartiges;intern;;sturzflutartiger, sturzflutartige, sturzflutartigem, sturzflutartigen;;;
;293;Unwetter;intern;;Unwetterlage;;;
